Source,web_scraper_order,specialization,fees,avg_rate,waiting_time,clinic_location,rate_count,doctor_views,pages
374 (1),1676133220-362,Ophthalmologist,250 EGP,5,Waiting Time : 18 Minutes,Hadayek El-Kobba : Abdelgleel street from Ibn Sender,From 88 Visitors,"6,315 View(s)",...
375 (1),1676133229-363,Gynecologist,150 EGP,4.5,Waiting Time : 32 Minutes,El-Haram : Haram Street Nasr eldin Station,From 297 Visitors,"14,943 View(s)",...
376 (1),1676133236-364,Psychiatrist,300 EGP,4.5,Waiting Time : 28 Minutes,Victoria : Gamal Abdelnaser,From 157 Visitors,"20,487 View(s)",...
377 (1),1676133239-365,Dentist,100 EGP,4.5,Waiting Time : 14 Minutes,El-Haram : 93 el haram street - beside city mall,From 648 Visitors,"32,514 View(s)",...
378 (1),1676133243-366,Physiotherapist,200 EGP,4,Waiting Time : 21 Minutes,6th of October : Central Axis,From 151 Visitors,"15,678 View(s)",...
379 (1),1676133251-367,Physiotherapist,150 EGP,4.5,Waiting Time : 12 Minutes,El-Haram : madkour,From 186 Visitors,"18,491 View(s)",66
380 (1),1676133254-368,Dentist,400 EGP,4.5,Waiting Time : 8 Minutes,El-Sheikh Zayed : Beverly Hills-gate 9,From 68 Visitors,"5,186 View(s)",66
381 (1),1676133257-369,Dentist,50 EGP,4.5,Waiting Time : 15 Minutes,Mahalla : El-shon,From 126 Visitors,"9,429 View(s)",66
382 (1),1676133260-370,Dentist,200 EGP,4.5,Waiting Time : 19 Minutes,El-Haram :  Salam,From 92 Visitors,"8,407 View(s)",66
383 (1),1676133272-371,Ophthalmologist,130 EGP,4.5,Waiting Time : 19 Minutes,Assiut city : Yusri Ragheb St.,From 189 Visitors,"13,150 View(s)",66
384 (1),1676133276-372,Dentist,200 EGP,4.5,Waiting Time : 8 Minutes,Nasr City : makram ebeid,From 96 Visitors,"23,527 View(s)",66
385 (1),1676133279-373,Dentist,100 EGP,4.5,Waiting Time : 12 Minutes,Banha : el safaa,From 81 Visitors,"6,823 View(s)",66
386 (1),1676133285-374,General Surgeon,400 EGP,4.5,Waiting Time : 13 Minutes,El-Maadi : Al Nasr Street,From 161 Visitors,"12,056 View(s)",66
387 (1),1676133291-375,Gynecologist,300 EGP,5,Waiting Time : 1 Hour and 33 Minutes,El-Dokki : El Tahrir st.,From 113 Visitors,"18,721 View(s)",
388 (1),1676133295-376,Dentist,350 EGP,4.5,Waiting Time : 9 Minutes,Nasr City : abo dawood zahry,From 114 Visitors,"12,331 View(s)",
389 (1),1676133299-377,Dentist,300 EGP,4.5,Waiting Time : 13 Minutes,New Cairo : 90 Street,From 190 Visitors,"35,809 View(s)",
390 (1),1676133301-378,Internist,400 EGP,4.5,Waiting Time : 17 Minutes,El-Mansoura : Al seka algdeda,From 48 Visitors,"15,505 View(s)",
391 (1),1676133314-379,Orthopedist,250 EGP,4.5,Waiting Time : 21 Minutes,Imbaba : Main wehda street,From 60 Visitors,"19,480 View(s)",
392 (1),1676133317-380,Nutritionist,350 EGP,5,Waiting Time : 8 Minutes,El-Sheikh Zayed,From 145 Visitors,"5,331 View(s)",
393 (1),1676133320-381,ENT Doctor,150 EGP,4,Waiting Time : 32 Minutes,"Ain Shams : 70 Khaled Ebn El Waleed st., From Mostafa Hafez st., Beside Zaher, Guesr El Suez st., In front of El Shams club",From 363 Visitors,"27,173 View(s)",
394 (1),1676133322-382,Dentist,150 EGP,4.5,Waiting Time : 21 Minutes,Faisal : hassan mohamed station-Feisal,From 814 Visitors,"53,359 View(s)",
395 (1),1676133330-383,Physiotherapist,75 EGP,4.5,Waiting Time : 14 Minutes,Shibin El-Kom : Abo Bakr Elsedeek,From 60 Visitors,"8,352 View(s)",
396 (1),1676133332-384,Dentist,150 EGP,4,Waiting Time : 30 Minutes,Hadayek El-Ahram : 2nd gate khafra,From 237 Visitors,"15,208 View(s)",
397 (1),1676128616-51,Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura,From 16 Visitors,"1,684 View(s)",1048
398 (1),1676128621-52,Dermatologist,200 EGP,4.5,Waiting Time : 35 Minutes,El-Ibrahimia,From 68 Visitors,"8,166 View(s)",1048
399 (1),1676128626-53,Orthopedist,250 EGP,4.5,Waiting Time : 31 Minutes,6th of October,From 29 Visitors,"1,724 View(s)",1048
400 (1),1676128630-54,Gynecologist,150 EGP,,null,El-Haram,null,"1,137 View(s)",1048
401 (1),1676128639-55,Dermatologist,200 EGP,5,Waiting Time : 20 Minutes,Nasr City,From 90 Visitors,"4,032 View(s)",1048
402 (1),1676128648-56,Internist,400 EGP,4.5,Waiting Time : 53 Minutes,El-Manyal : Saeed Tho Al fakar Street - branched from El basha square,From 847 Visitors,"55,556 View(s)",...
403 (1),1676128652-57,Vascular Surgeon,400 EGP,4.5,Waiting Time : 14 Minutes,6th of October : El Mehwar El Markazy,From 361 Visitors,"22,988 View(s)",...
404 (1),1676128658-58,Dentist,200 EGP,4.5,Waiting Time : 26 Minutes,Heliopolis :  Bridge,From 107 Visitors,"20,365 View(s)",...
405 (1),1676128663-59,ENT Doctor,400 EGP,4.5,Waiting Time : 9 Minutes,"El-Rehab : Rehab , medical centre 2 , clinic 109",From 511 Visitors,"28,554 View(s)",...
406 (1),1676128671-60,Cardiologist,600 EGP,4.5,Waiting Time : 32 Minutes,El-Sheikh Zayed : Twin Towers,From 188 Visitors,"37,441 View(s)",...
407 (1),1676128678-61,Internist,350 EGP,4.5,Waiting Time : 24 Minutes,Nasr City :  ahmed el zomor,From 220 Visitors,"19,963 View(s)",...
408 (1),1676128684-62,Gynecologist,200 EGP,4.5,Waiting Time : 34 Minutes,"El-Agamy : Kilometer 21 square,",From 143 Visitors,"17,379 View(s)",...
409 (1),1676128688-63,Pediatrician,400 EGP,4.5,Waiting Time : 12 Minutes,Nasr City : Mostafa nhas St,From 25 Visitors,"7,276 View(s)",...
410 (1),1676128691-64,ENT Doctor,250 EGP,4,Waiting Time : 23 Minutes,El-Mokattam : 9 S.t,From 173 Visitors,"15,895 View(s)",...
411 (1),1676128695-65,Plastic Surgeon,350 EGP,4.5,Waiting Time : 9 Minutes,"Sporting : Port Saeid St.,",From 22 Visitors,"14,222 View(s)",...
412 (1),1676128710-66,Oncologist,300 EGP,4.5,Waiting Time : 24 Minutes,El-Haram,From 229 Visitors,"12,588 View(s)",50
413 (1),1676128719-67,Dentist,250 EGP,4.5,Waiting Time : 11 Minutes,6th of October : omrania tanua,From 149 Visitors,"13,834 View(s)",50
414 (1),1676128725-68,Cardiologist,350 EGP,5,Waiting Time : 56 Minutes,West El-Balad :  Mohamed farid,From 300 Visitors,"18,171 View(s)",50
415 (1),1676128728-69,Cardiologist,200 EGP,4.5,Waiting Time : 56 Minutes,El-Agamy : Alrxandria- matrouh road,From 267 Visitors,"17,244 View(s)",50
416 (1),1676128732-70,Orthopedist,350 EGP,4.5,Waiting Time : 9 Minutes,Nasr City,From 277 Visitors,"14,942 View(s)",50
417 (1),1676128737-71,Urologist,400 EGP,4,Waiting Time : 23 Minutes,Heliopolis : bagdad st.,From 110 Visitors,"28,114 View(s)",50
418 (1),1676128743-72,Ophthalmologist,350 EGP,4.5,Waiting Time : 1 Hour and 20 Minutes,Nasr City : mostafa el nahhas street,From 1192 Visitors,"84,238 View(s)",50
419 (1),1676128749-73,Rheumatologist,300 EGP,4.5,Waiting Time : 10 Minutes,El-Zagazig : vilal gamaa street next to madina mosque,From 153 Visitors,"15,078 View(s)",50
420 (1),1676128761-74,Urologist,600 EGP,4,Waiting Time : 26 Minutes,El-Mohandessin :  shehab street,From 51 Visitors,"10,304 View(s)",
421 (1),1676128767-75,Dermatologist,300 EGP,4.5,Waiting Time : 34 Minutes,El-Maadi :  El Horya Square,From 647 Visitors,"45,091 View(s)",
422 (1),1676128771-76,Cardiologist,500 EGP,4.5,Waiting Time : 34 Minutes,El-Sheikh Zayed : Twin Towers-Elmehwar Elmarkazi,From 733 Visitors,"24,459 View(s)",
423 (1),1676128779-77,Vascular Surgeon,400 EGP,4.5,Waiting Time : 11 Minutes,El-Manyal : El Manyal,From 69 Visitors,"9,994 View(s)",
424 (1),1676128784-78,Gynecologist,200 EGP,4.5,Waiting Time : 12 Minutes,El-Obour City : Al Obour center,From 32 Visitors,"5,425 View(s)",
425 (1),1676129486-99,Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura,From 16 Visitors,"1,687 View(s)",1048
426 (1),1676129490-100,Dermatologist,200 EGP,4.5,Waiting Time : 35 Minutes,El-Ibrahimia,From 68 Visitors,"8,169 View(s)",1048
427 (1),1676129495-101,Orthopedist,250 EGP,4.5,Waiting Time : 31 Minutes,6th of October,From 29 Visitors,"1,728 View(s)",1048
428 (1),1676129500-102,Gynecologist,150 EGP,,null,El-Haram,null,"1,139 View(s)",1048
429 (1),1676129511-103,Dermatologist,200 EGP,5,Waiting Time : 20 Minutes,Nasr City,From 90 Visitors,"4,035 View(s)",1048
430 (1),1676129545-104,Dentist,200 EGP,4.5,Waiting Time : 26 Minutes,Heliopolis :  Bridge,From 107 Visitors,"20,366 View(s)",...
431 (1),1676129548-105,Vascular Surgeon,300 EGP,4.5,Waiting Time : 37 Minutes,Faisal :  Faisal,From 275 Visitors,"34,616 View(s)",...
432 (1),1676129555-106,Internist,350 EGP,4.5,Waiting Time : 24 Minutes,Nasr City :  ahmed el zomor,From 220 Visitors,"19,964 View(s)",...
433 (1),1676129559-107,Gynecologist,200 EGP,4.5,Waiting Time : 34 Minutes,"El-Agamy : Kilometer 21 square,",From 143 Visitors,"17,381 View(s)",...
434 (1),1676129566-108,ENT Doctor,250 EGP,4,Waiting Time : 23 Minutes,El-Mokattam : 9 S.t,From 173 Visitors,"15,896 View(s)",...
435 (1),1676129572-109,Cardiologist,350 EGP,5,Waiting Time : 56 Minutes,West El-Balad :  Mohamed farid,From 300 Visitors,"18,172 View(s)",...
436 (1),1676129582-110,Dermatologist,200 EGP,4.5,Waiting Time : 44 Minutes,El-Obour City : Alsadat St.,From 685 Visitors,"29,993 View(s)",...
437 (1),1676129590-111,Psychiatrist,300 EGP,4,Waiting Time : 38 Minutes,El-Mansoura : Hussein bek street in front of family regulation office,From 54 Visitors,"15,924 View(s)",...
438 (1),1676129598-112,Pediatrician,200 EGP,4.5,Waiting Time : 12 Minutes,Miamy,From 98 Visitors,"5,679 View(s)",...
439 (1),1676129604-113,Orthopedist,200 EGP,4.5,Waiting Time : 22 Minutes,Faisal,From 901 Visitors,"29,934 View(s)",...
440 (1),1676129615-114,Gynecologist,500 EGP,4.5,Waiting Time : 10 Minutes,New Cairo : abdallah ibn salama,From 102 Visitors,"7,061 View(s)",52
441 (1),1676129619-115,Internist,300 EGP,4,Waiting Time : 7 Minutes,El-Rehab : el sadat axis-The corner mall,From 371 Visitors,"14,404 View(s)",52
442 (1),1676129626-116,Pediatrician,300 EGP,4.5,Waiting Time : 19 Minutes,New Cairo : 3rd block,From 307 Visitors,"10,382 View(s)",52
443 (1),1676129630-117,Psychiatrist,600 EGP,4,Waiting Time : 31 Minutes,trablous,From 258 Visitors,"1,588 View(s)",52
444 (1),1676129634-118,Andrologist,300 EGP,4.5,Waiting Time : 43 Minutes,6th of October : 4th District - 3rd Neighborhood,From 1002 Visitors,"46,253 View(s)",52
445 (1),1676129639-119,Orthopedist,200 EGP,4.5,Waiting Time : 34 Minutes,6th of October,From 480 Visitors,"26,411 View(s)",52
446 (1),1676129642-120,General Surgeon,150 EGP,4.5,Waiting Time : 46 Minutes,Shoubra El-Kheima : ElSharea ElGded,From 201 Visitors,"12,017 View(s)",52
447 (1),1676129649-121,Ophthalmologist,300 EGP,4.5,Waiting Time : 9 Minutes,New Cairo,From 478 Visitors,"17,285 View(s)",
448 (1),1676129656-122,Neurologist,300 EGP,4.5,Waiting Time : 1 Hour and 22 Minutes,Shoubra El-Kheima : 15 may street across the new street,From 485 Visitors,"52,645 View(s)",
449 (1),1676129659-123,Nutritionist,200 EGP,4.5,Waiting Time : 15 Minutes,El-Matareya : El horeya street,From 45 Visitors,"8,354 View(s)",
450 (1),1676129662-124,Rheumatologist,400 EGP,4.5,Waiting Time : 10 Minutes,Nasr City : Gafar Elsadek st branched from eltayaran,From 165 Visitors,"25,471 View(s)",
451 (1),1676129665-125,Internist,300 EGP,4.5,Waiting Time : 36 Minutes,El-Maadi : 77 St.,From 913 Visitors,"37,046 View(s)",
452 (1),1676129669-126,Cardiologist,750 EGP,4.5,Waiting Time : 47 Minutes,Heliopolis,From 469 Visitors,"43,728 View(s)",
453 (1),1676129674-127,Pediatrician,250 EGP,4.5,Waiting Time : 30 Minutes,Faisal : king  Faisal taawon,From 1109 Visitors,"65,606 View(s)",
454 (1),1676129678-128,Andrologist,250 EGP,4.5,Waiting Time : 50 Minutes,Faisal,From 205 Visitors,"15,492 View(s)",
455 (1),1676129684-129,Urologist,200 EGP,4.5,Waiting Time : 21 Minutes,Shoubra : 15 may street,From 125 Visitors,"10,978 View(s)",
456 (1),1676129691-130,Nutritionist,100 EGP,4,Waiting Time : 8 Minutes,El-Mansheyah : Hamam El Warsha,From 120 Visitors,"22,875 View(s)",
457 (1),1676129842-131,Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura,From 16 Visitors,"1,687 View(s)",1048
458 (1),1676129846-132,Dermatologist,200 EGP,4.5,Waiting Time : 35 Minutes,El-Ibrahimia,From 68 Visitors,"8,169 View(s)",1048
459 (1),1676129850-133,Orthopedist,250 EGP,4.5,Waiting Time : 31 Minutes,6th of October,From 29 Visitors,"1,729 View(s)",1048
460 (1),1676129855-134,Gynecologist,150 EGP,,null,El-Haram,null,"1,139 View(s)",1048
461 (1),1676129864-135,Dermatologist,200 EGP,5,Waiting Time : 20 Minutes,Nasr City,From 90 Visitors,"4,035 View(s)",1048
462 (1),1676129877-136,Hepatologist,300 EGP,4.5,Waiting Time : 28 Minutes,Faisal : Faisal,From 421 Visitors,"35,634 View(s)",...
463 (1),1676129889-137,Orthopedist,150 EGP,4.5,Waiting Time : 13 Minutes,Ain Shams,From 125 Visitors,"11,811 View(s)",...
464 (1),1676129895-138,Rheumatologist,250 EGP,4,Waiting Time : 15 Minutes,El-Haram :  Abo emera street,From 246 Visitors,"20,079 View(s)",...
465 (1),1676129899-139,Ophthalmologist,400 EGP,4.5,Waiting Time : 47 Minutes,El-Maadi : 153,From 364 Visitors,"26,223 View(s)",...
466 (1),1676129903-140,Physiotherapist,120 EGP,4,Waiting Time : 22 Minutes,El-Maadi : 9,From 125 Visitors,"14,855 View(s)",...
467 (1),1676129911-141,Dermatologist,200 EGP,4.5,Waiting Time : 44 Minutes,El-Obour City : Alsadat St.,From 685 Visitors,"29,994 View(s)",...
468 (1),1676129916-142,Psychiatrist,300 EGP,4,Waiting Time : 38 Minutes,El-Mansoura : Hussein bek street in front of family regulation office,From 54 Visitors,"15,927 View(s)",...
469 (1),1676129922-143,Ophthalmologist,150 EGP,5,Waiting Time : 29 Minutes,"Shoubra El-Kheima : 15 mayo"" ElshareEl gedidi """,From 317 Visitors,"9,642 View(s)",...
470 (1),1676129927-144,Gynecologist,200 EGP,4,Waiting Time : 14 Minutes,El-Ibrahimia,From 147 Visitors,"11,538 View(s)",...
471 (1),1676129935-145,Pediatrician,200 EGP,4.5,Waiting Time : 12 Minutes,Miamy,From 98 Visitors,"5,680 View(s)",...
472 (1),1676129944-146,Internist,300 EGP,4,Waiting Time : 7 Minutes,El-Rehab : el sadat axis-The corner mall,From 371 Visitors,"14,405 View(s)",54
473 (1),1676129951-147,Pediatrician,300 EGP,4.5,Waiting Time : 19 Minutes,New Cairo : 3rd block,From 307 Visitors,"10,383 View(s)",54
474 (1),1676129958-148,Oncologist,300 EGP,4.5,Waiting Time : 24 Minutes,El-Haram,From 229 Visitors,"12,589 View(s)",54
475 (1),1676129961-149,Orthopedist,400 EGP,4.5,Waiting Time : 3 Hours and 27 Minutes,El-Maadi :  ElNasr,From 202 Visitors,"25,760 View(s)",54
476 (1),1676129971-150,Nephrologist,400 EGP,5,Waiting Time : 35 Minutes,Faisal : Faisal street,From 361 Visitors,"19,163 View(s)",54
477 (1),1676129976-151,ENT Doctor,400 EGP,4.5,Waiting Time : 9 Minutes,"El-Rehab : Rehab , medical centre 2 , clinic 109",From 511 Visitors,"28,555 View(s)",54
478 (1),1676129980-152,Urologist,400 EGP,4,Waiting Time : 23 Minutes,Heliopolis : bagdad st.,From 110 Visitors,"28,115 View(s)",54
479 (1),1676129986-153,Plastic Surgeon,350 EGP,4.5,Waiting Time : 9 Minutes,"Sporting : Port Saeid St.,",From 22 Visitors,"14,223 View(s)",54
480 (1),1676129989-154,Vascular Surgeon,400 EGP,4.5,Waiting Time : 14 Minutes,6th of October : El Mehwar El Markazy,From 361 Visitors,"22,989 View(s)",54
481 (1),1676129994-155,Cardiologist,600 EGP,4.5,Waiting Time : 32 Minutes,El-Sheikh Zayed : Twin Towers,From 188 Visitors,"37,442 View(s)",54
482 (1),1676130015-156,ENT Doctor,320 EGP,4.5,Waiting Time : 29 Minutes,El-Mohandessin,From 1028 Visitors,"64,497 View(s)",
483 (1),1676130022-157,Cardiologist,750 EGP,4.5,Waiting Time : 47 Minutes,Heliopolis,From 469 Visitors,"43,729 View(s)",
484 (1),1676130029-158,Dentist,200 EGP,4.5,Waiting Time : 26 Minutes,Heliopolis :  Bridge,From 107 Visitors,"20,367 View(s)",
485 (1),1676130036-159,Psychiatrist,400 EGP,4.5,Waiting Time : 21 Minutes,Hadayek El-Kobba : Masr El-Soadan,From 159 Visitors,"42,095 View(s)",
486 (1),1676130043-160,Internist,350 EGP,4.5,Waiting Time : 22 Minutes,El-Maadi : algazerr,From 1538 Visitors,"87,377 View(s)",
487 (1),1676130049-161,Ophthalmologist,300 EGP,4.5,Waiting Time : 9 Minutes,New Cairo,From 478 Visitors,"17,287 View(s)",
488 (1),1676130054-162,Pediatrician,250 EGP,4.5,Waiting Time : 30 Minutes,Faisal : king  Faisal taawon,From 1109 Visitors,"65,607 View(s)",
489 (1),1676130060-163,Vascular Surgeon,300 EGP,4.5,Waiting Time : 37 Minutes,Faisal :  Faisal,From 275 Visitors,"34,617 View(s)",
490 (1),1676130068-164,Ophthalmologist,350 EGP,4.5,Waiting Time : 1 Hour and 20 Minutes,Nasr City : mostafa el nahhas street,From 1192 Visitors,"84,239 View(s)",
491 (1),1676130075-165,Internist,350 EGP,4.5,Waiting Time : 24 Minutes,Nasr City :  ahmed el zomor,From 220 Visitors,"19,965 View(s)",
492 (1),1676130167-166,Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura,From 16 Visitors,"1,690 View(s)",1048
493 (1),1676130174-167,Dermatologist,200 EGP,4.5,Waiting Time : 35 Minutes,El-Ibrahimia,From 68 Visitors,"8,171 View(s)",1048
494 (1),1676130180-168,Orthopedist,250 EGP,4.5,Waiting Time : 31 Minutes,6th of October,From 29 Visitors,"1,729 View(s)",1048
495 (1),1676130187-169,Gynecologist,150 EGP,,null,El-Haram,null,"1,139 View(s)",1048
496 (1),1676130196-170,Dermatologist,200 EGP,5,Waiting Time : 20 Minutes,Nasr City,From 90 Visitors,"4,035 View(s)",1048
497 (1),1676130209-171,ENT Doctor,200 EGP,4,Waiting Time : 20 Minutes,Faisal,From 636 Visitors,"43,963 View(s)",...
498 (1),1676130216-172,Neurologist,300 EGP,4.5,Waiting Time : 1 Hour and 1 Minute,El-Abbasia : Abdou Pacha Sq.,From 702 Visitors,"54,320 View(s)",...
499 (1),1676130222-173,Gynecologist,200 EGP,4.5,Waiting Time : 50 Minutes,6th of October : the central axis,From 835 Visitors,"32,628 View(s)",...
500 (1),1676130228-174,Ophthalmologist,400 EGP,4.5,Waiting Time : 47 Minutes,El-Maadi : 153,From 364 Visitors,"26,224 View(s)",...
501 (1),1676130233-175,Internist,150 EGP,4.5,Waiting Time : 1 Hour and 16 Minutes,El-Mandara : Mohamed Hassanin Hiekel,From 903 Visitors,"82,211 View(s)",...
502 (1),1676130239-176,Hepatologist,300 EGP,4.5,Waiting Time : 28 Minutes,Faisal : Faisal,From 421 Visitors,"35,635 View(s)",...
503 (1),1676130249-177,Orthopedist,200 EGP,5,Waiting Time : 34 Minutes,Sidy Gaber : Elhoreia,From 645 Visitors,"50,322 View(s)",...
504 (1),1676130254-178,Gynecologist,250 EGP,4.5,Waiting Time : 11 Minutes,El-Sheikh Zayed : Medical Hub Center-Khameal City-Gate 2-Infront of Hyperone,From 74 Visitors,"5,117 View(s)",...
505 (1),1676130261-179,Gastroenterologist,200 EGP,5,Waiting Time : 18 Minutes,Ain Shams,From 505 Visitors,"21,784 View(s)",...
506 (1),1676130265-180,Urologist,100 EGP,4.5,Waiting Time : 47 Minutes,El-Marg : Ahmed sediq,From 317 Visitors,"23,763 View(s)",...
507 (1),1676130276-181,Gastroenterologist,300 EGP,4.5,Waiting Time : 1 Hour and 33 Minutes,Sidy Gaber : Portsaif,From 649 Visitors,"54,921 View(s)",56
508 (1),1676130282-182,Neurologist,150 EGP,4,Waiting Time : 31 Minutes,El-Haram : Terat Al Zomir Street,From 1017 Visitors,"64,347 View(s)",56
509 (1),1676130290-183,ENT Doctor,300 EGP,4.5,Waiting Time : 16 Minutes,El-Maadi,From 772 Visitors,"21,812 View(s)",56
510 (1),1676130296-184,Orthopedist,150 EGP,4.5,Waiting Time : 13 Minutes,Ain Shams,From 125 Visitors,"11,812 View(s)",56
511 (1),1676130301-185,Dermatologist,400 EGP,4.5,Waiting Time : 17 Minutes,6th of October : elmahwar el markazi,From 1284 Visitors,"63,374 View(s)",56
512 (1),1676130305-186,Rheumatologist,250 EGP,4,Waiting Time : 15 Minutes,El-Haram :  Abo emera street,From 246 Visitors,"20,080 View(s)",56
513 (1),1676130311-187,Pulmonologist,300 EGP,4.5,Waiting Time : 28 Minutes,El-Haram : Al Haram street -,From 1294 Visitors,"66,504 View(s)",56
514 (1),1676130315-188,Gynecologist,450 EGP,4.5,Waiting Time : 31 Minutes,"El-Rehab : Medical center 2 ,  El Rehab City",From 827 Visitors,"38,218 View(s)",56
515 (1),1676130323-189,Gastroenterologist,400 EGP,4.5,Waiting Time : 12 Minutes,El-Giza : el gamaa Street,From 49 Visitors,"6,794 View(s)",
516 (1),1676130330-190,Internist,150 EGP,4.5,Waiting Time : 1 Hour,El-Haram : El haram St.,From 1512 Visitors,"51,308 View(s)",
517 (1),1676130348-191,Psychiatrist,300 EGP,4.5,Waiting Time : 26 Minutes,El-Haram : Naser althora,From 383 Visitors,"53,284 View(s)",
518 (1),1676130359-192,Gynecologist,150 EGP,4.5,Waiting Time : 23 Minutes,El-Rehab : medical park elite next to city square,From 105 Visitors,"6,873 View(s)",
519 (1),1676130364-193,Pulmonologist,400 EGP,4,Waiting Time : 20 Minutes,El-Maadi,From 1042 Visitors,"66,622 View(s)",
520 (1),1676130369-194,Orthopedist,250 EGP,4.5,Waiting Time : 32 Minutes,6th of October : 71 fadan,From 524 Visitors,"19,680 View(s)",
521 (1),1676130375-195,ENT Doctor,400 EGP,4.5,Waiting Time : 9 Minutes,"El-Rehab : Rehab , medical centre 2 , clinic 109",From 511 Visitors,"28,556 View(s)",
522 (1),1676130380-196,Urologist,400 EGP,4,Waiting Time : 23 Minutes,Heliopolis : bagdad st.,From 110 Visitors,"28,116 View(s)",
523 (1),1676130386-197,Dermatologist,300 EGP,4.5,Waiting Time : 38 Minutes,Heliopolis : El Merghany,From 925 Visitors,"32,177 View(s)",
524 (1),1676130392-198,Cardiologist,600 EGP,4.5,Waiting Time : 32 Minutes,El-Sheikh Zayed : Twin Towers,From 188 Visitors,"37,443 View(s)",
525 (1),1676130580-199,Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura,From 16 Visitors,"1,690 View(s)",1048
526 (1),1676130586-200,Dermatologist,200 EGP,4.5,Waiting Time : 35 Minutes,El-Ibrahimia,From 68 Visitors,"8,172 View(s)",1048
527 (1),1676130591-201,Orthopedist,250 EGP,4.5,Waiting Time : 31 Minutes,6th of October,From 29 Visitors,"1,731 View(s)",1048
528 (1),1676130595-202,Gynecologist,150 EGP,,null,El-Haram,null,"1,142 View(s)",1048
529 (1),1676130603-203,Dermatologist,200 EGP,5,Waiting Time : 20 Minutes,Nasr City,From 90 Visitors,"4,038 View(s)",1048
530 (1),1676130616-204,Physiotherapist,200 EGP,5,Waiting Time : 5 Minutes,Heliopolis : abu bakr el sedeek saffir sqaure,From 208 Visitors,"36,839 View(s)",...
531 (1),1676130622-205,Plastic Surgeon,400 EGP,4,Waiting Time : 11 Minutes,El-Ibrahimia : abokeir road,From 123 Visitors,"33,667 View(s)",...
532 (1),1676130628-206,General Surgeon,200 EGP,4.5,Waiting Time : 10 Minutes,Faisal,From 493 Visitors,"35,996 View(s)",...
533 (1),1676130633-207,Internist,350 EGP,4,Waiting Time : 19 Minutes,Heliopolis,From 449 Visitors,"51,717 View(s)",...
534 (1),1676130640-208,Dentist,200 EGP,4.5,Waiting Time : 14 Minutes,"8th district, Above Ragab's Sons s market - mall five stars 2 new floor",From 640 Visitors,"12,766 View(s)",...
535 (1),1676130647-209,Gynecologist,200 EGP,4.5,Waiting Time : 11 Minutes,Nasr City : ahmed elzomr,From 27 Visitors,"3,658 View(s)",...
536 (1),1676130655-210,Dentist,400 EGP,4.5,Waiting Time : 12 Minutes,Nasr City : Abu Dawood Al-Zahery,From 427 Visitors,"21,379 View(s)",...
537 (1),1676130660-211,Cardiologist,200 EGP,4.5,Waiting Time : 43 Minutes,Ain Shams : Seha street,From 270 Visitors,"19,435 View(s)",...
538 (1),1676130666-212,Internist,400 EGP,,null,Beverly Hills,null,"28,591 View(s)",...
539 (1),1676130671-213,General Surgeon,190 EGP,4.5,Waiting Time : 27 Minutes,El-Mansoura,From 80 Visitors,"15,278 View(s)",...
540 (1),1676130685-214,Gynecologist,250 EGP,4,Waiting Time : 26 Minutes,Hadayek El-Ahram : zen,From 337 Visitors,"28,378 View(s)",58
541 (1),1676130693-215,Dentist,400 EGP,5,Waiting Time : 10 Minutes,New Cairo : North,From 197 Visitors,"14,673 View(s)",58
542 (1),1676130699-216,Cardiologist,250 EGP,4.5,Waiting Time : 27 Minutes,El-Haram : Al Haram street,From 222 Visitors,"14,646 View(s)",58
543 (1),1676130705-217,Cardiologist,175 EGP,4.5,Waiting Time : 2 Hours and 31 Minutes,El-Agamy : -salah el awdy st.,From 115 Visitors,"8,907 View(s)",58
544 (1),1676130712-218,Internist,350 EGP,4.5,Waiting Time : 22 Minutes,6th of October : nagda square,From 269 Visitors,"12,061 View(s)",58
545 (1),1676130717-219,Urologist,100 EGP,4.5,Waiting Time : 47 Minutes,El-Marg : Ahmed sediq,From 317 Visitors,"23,763 View(s)",58
546 (1),1676130721-220,Gastroenterologist,200 EGP,5,Waiting Time : 18 Minutes,Ain Shams,From 505 Visitors,"21,784 View(s)",58
547 (1),1676130726-221,Internist,170 EGP,4.5,Waiting Time : 27 Minutes,El-Zagazig,From 305 Visitors,"29,551 View(s)",58
548 (1),1676130731-222,Ophthalmologist,400 EGP,4.5,Waiting Time : 47 Minutes,El-Maadi : 153,From 364 Visitors,"26,224 View(s)",58
549 (1),1676130739-223,Gynecologist,200 EGP,4.5,Waiting Time : 50 Minutes,6th of October : the central axis,From 835 Visitors,"32,628 View(s)",57
550 (1),1676130743-224,Internist,150 EGP,4.5,Waiting Time : 1 Hour and 16 Minutes,El-Mandara : Mohamed Hassanin Hiekel,From 903 Visitors,"82,211 View(s)",57
551 (1),1676130747-225,Internist,350 EGP,5,Waiting Time : 56 Minutes,Smouha : Victor Ammanuel St.,From 575 Visitors,"35,848 View(s)",57
